Owner,total_capacity,number_of_plants,average_LitPop_exposure,geographic_spread,company_latitude,company_longitude
Rizhao Steel Holding Group Co Ltd,373600.0,1,784949051.4879102,1,35.16535,119.366672
Steel Authority of India Ltd,362952.0,8,3100961977.0549183,1,22.534338293803426,84.88188601357452
ArcelorMittal Nippon Steel India Ltd,358000.0,5,2571208336.6707883,1,20.275123157894736,75.68923323684211
Maanshan Iron & Steel Co Ltd,332800.0,1,14161932205.740225,1,31.698884,118.468194
Jiangsu Shagang Iron & Steel Co Ltd,329360.0,1,5778523153.580064,1,31.983146,120.638992
JSW Steel Ltd,288651.0,5,317623336.3130273,1,16.987253075438595,75.1545742122807
Lianfeng Steel (Zhangjiagang) Co Ltd,270000.0,1,3289812339.6058364,1,31.855205,120.730505
Bengang Steel Plates Co Ltd,239040.0,1,10302505895.931911,1,41.274132,123.722099
Angang Steel Co Ltd,226500.0,3,41688253912.51668,1,41.13243613793103,122.86355968965518
Nippon Steel Corp,198179.0,10,15184639409.471426,1,34.87442765263158,135.36630458947369
Xinyu Iron & Steel Corp Ltd,192016.0,1,7022275672.93845,1,27.786859,114.921595
Jindal Steel Odisha Ltd,172800.0,1,322827125.6345241,1,20.874713,84.944082
JFE Steel Corp,169841.0,5,20746377287.81315,1,34.64687986842105,134.17878431578947
Shaanxi LONG MEN IRON&STEEL Co Ltd,168800.0,1,1050556946.8883605,1,35.618466,110.575788
Tangshan Ganglu Iron & Steel Co Ltd,156016.0,1,392661136.5966965,1,40.183913,118.073913
Guangxi Shenglong Metallurgical Co Ltd,152847.0,1,954514098.9683073,1,21.687637,108.412344
Tangshan Donghua Iron & Steel Enterprise Group Co Ltd,145600.0,1,438464931.03294915,1,39.468366,118.256774
Fushun New Steel Corp Ltd,138750.0,1,8540543698.927486,1,41.841223,123.753895
Quzhou Yuanli METAL Products Co Ltd,135200.0,1,1274727897.9611301,1,28.893407,118.867125
Jiangyin Xingcheng SPECIAL Steel Works Co Ltd,134096.0,1,4429745806.121701,1,31.950191,120.328449
Yunnan Desheng Steel Co Ltd,119250.0,1,179784996.6136446,1,25.142516,102.077727
JSW Green Steel Ltd,117000.0,1,5087801.004416001,1,18.530853,72.947091
Rungta Mines Ltd,110331.0,5,378266167.2710499,1,21.68744571794872,85.4057713076923
Benxi Beiying Iron & Steel (GROUP) Co Ltd,109044.0,1,423489077.5911907,1,41.224814,123.608374
Kobe Steel Ltd,106656.0,2,25646767202.499496,1,34.72001193846154,134.8327508769231
Tata Steel Ltd,106470.0,5,2479653436.2547827,1,22.284600105263156,85.25087421052632
Henan Jiyuan Iron & Steel (Group) Co Ltd,106208.0,1,3421395276.0751696,1,35.086396,112.553774
HBIS Laoting Steel Co Ltd,103500.0,1,658638310.9064554,1,39.257823,119.033567
Qian'an City Jiujiang Wire Co Ltd,94833.0,1,1205952791.2560177,1,39.952209,118.559444
Rockcheck Steel Group Co Ltd,92000.0,1,8170303829.634859,1,38.970638,117.495794
Hebei Puyang Iron and Steel Co Ltd,89072.0,1,313791587.31473416,1,36.733675,113.925995
Hebei Rongxin Iron & Steel Co Ltd,88320.0,1,796505445.106471,1,39.880661,118.558755
Beijing Shougang Co Ltd,86400.0,1,1205952791.2560177,1,39.976701999999996,118.558788
Neelachal Ispat Nigam Ltd,85500.0,1,864289310.3874147,1,20.998641,86.019102
Houying Group Haicheng Iron and Steel Co Ltd,78400.0,1,563518410.1278985,1,40.981855,122.948643
Shanxi Jianlong Industrial Co Ltd,76000.0,1,384406160.84900844,1,35.417405,111.303919
